StateDesc,County,TotalPopulation,FIPS,Latitude,Longitude,NCPop
North Carolina,Tyrrell,4016,37177,-76.20679328,35.81792874,
North Carolina,Union,239859,37179,-80.53084942,34.98821301,
North Carolina,Vance,44535,37181,-78.40828917,36.36478993,
North Carolina,Wake,1111761,37183,-78.6501583,35.78984671,
North Carolina,Warren,19731,37185,-78.10670979,36.39679821,
North Carolina,Washington,11580,37187,-76.57647201,35.8227606,
North Carolina,Watauga,56177,37189,-81.69599823,36.2309516,
North Carolina,Wayne,123131,37191,-78.00390328,35.36370132,
North Carolina,Wilkes,68412,37193,-81.16272247,36.20624341,
North Carolina,Wilson,81801,37195,-77.91888936,35.70499332,
North Carolina,Yadkin,37667,37197,-80.66557121,36.16054149,
North Carolina,Yancey,18069,37199,-82.30768713,35.89830177,
